experiment,participant_id,item_index,nll_base,nll_ours,delta_log_likelihood
guenther2023ViSpa,1,98,0.54296875,0.466796875,0.076171875
guenther2023ViSpa,1,99,1.5234375,1.0625,0.4609375
guenther2023ViSpa,1,100,4.3125,3.953125,0.359375
guenther2023ViSpa,1,101,1.3984375,1.390625,0.0078125
guenther2023ViSpa,1,102,1.75,2.140625,-0.390625
guenther2023ViSpa,1,103,0.90234375,1.453125,-0.55078125
guenther2023ViSpa,1,104,2.34375,1.9921875,0.3515625
guenther2023ViSpa,1,105,0.82421875,0.84375,-0.01953125
guenther2023ViSpa,1,106,0.6015625,0.5234375,0.078125
guenther2023ViSpa,1,107,1.265625,0.6796875,0.5859375
guenther2023ViSpa,1,108,1.1796875,1.234375,-0.0546875
guenther2023ViSpa,1,109,1.109375,1.6640625,-0.5546875
guenther2023ViSpa,2,0,4.95111083984375,1.0537109375,3.89739990234375
guenther2023ViSpa,2,1,2.03118896484375,1.906219482421875,0.124969482421875
guenther2023ViSpa,2,2,0.86328125,0.6015625,0.26171875
guenther2023ViSpa,2,3,2.171875,4.195281982421875,-2.023406982421875
guenther2023ViSpa,2,4,1.5546875,1.28857421875,0.26611328125
guenther2023ViSpa,2,5,1.390625,1.453125,-0.0625
guenther2023ViSpa,2,6,2.234375,2.859375,-0.625
guenther2023ViSpa,2,7,1.0,0.796875,0.203125
guenther2023ViSpa,2,8,2.875,2.203125,0.671875
guenther2023ViSpa,2,9,1.578125,1.3515625,0.2265625
guenther2023ViSpa,2,10,2.05859375,0.9423828125,1.1162109375
guenther2023ViSpa,2,11,1.703125,0.980438232421875,0.722686767578125
guenther2023ViSpa,2,12,0.71728515625,0.4951171875,0.22216796875
guenther2023ViSpa,2,13,1.25,0.6484375,0.6015625
guenther2023ViSpa,2,14,1.3203125,0.83203125,0.48828125
guenther2023ViSpa,2,15,1.25,0.384765625,0.865234375
guenther2023ViSpa,2,16,0.578125,0.7890625,-0.2109375
guenther2023ViSpa,2,17,1.21875,1.3046875,-0.0859375
guenther2023ViSpa,2,18,1.890625,1.4609375,0.4296875
guenther2023ViSpa,2,19,1.0703125,2.28125,-1.2109375
guenther2023ViSpa,2,20,0.90234375,1.15625,-0.25390625
guenther2023ViSpa,2,21,0.65625,0.84765625,-0.19140625
guenther2023ViSpa,2,22,1.375,1.03125,0.34375
guenther2023ViSpa,2,23,1.5625,2.6875,-1.125
guenther2023ViSpa,2,24,1.71875,1.4921875,0.2265625
guenther2023ViSpa,2,25,1.1875,1.3671875,-0.1796875
guenther2023ViSpa,2,26,0.9140625,0.75390625,0.16015625
guenther2023ViSpa,2,27,1.0546875,0.7890625,0.265625
guenther2023ViSpa,2,28,1.578125,1.8671875,-0.2890625
guenther2023ViSpa,2,29,0.5078125,0.494140625,0.013671875
guenther2023ViSpa,2,30,0.2041015625,0.5,-0.2958984375
guenther2023ViSpa,2,31,0.431640625,0.3125,0.119140625
guenther2023ViSpa,2,32,1.40625,1.234375,0.171875
guenther2023ViSpa,2,33,2.5,1.015625,1.484375
guenther2023ViSpa,2,34,1.609375,1.15625,0.453125
guenther2023ViSpa,2,35,1.171875,1.765625,-0.59375
guenther2023ViSpa,2,36,2.0625,2.453125,-0.390625
guenther2023ViSpa,2,37,0.70703125,0.953125,-0.24609375
guenther2023ViSpa,2,38,0.546875,0.55859375,-0.01171875
guenther2023ViSpa,2,39,1.84765625,0.43359375,1.4140625
guenther2023ViSpa,2,40,1.671875,1.8671875,-0.1953125
guenther2023ViSpa,2,41,1.34375,0.390625,0.953125
guenther2023ViSpa,2,42,1.875,2.109375,-0.234375
guenther2023ViSpa,2,43,0.91015625,0.390625,0.51953125
guenther2023ViSpa,2,44,0.8046875,1.046875,-0.2421875
guenther2023ViSpa,2,45,1.453125,1.1875,0.265625
guenther2023ViSpa,2,46,0.99609375,1.0625,-0.06640625
guenther2023ViSpa,2,47,1.0859375,1.40625,-0.3203125
guenther2023ViSpa,2,48,1.21875,1.390625,-0.171875
guenther2023ViSpa,2,49,1.1015625,1.828125,-0.7265625
guenther2023ViSpa,2,50,3.09375,2.03125,1.0625
guenther2023ViSpa,2,51,1.875,1.7109375,0.1640625
guenther2023ViSpa,2,52,0.81640625,1.0703125,-0.25390625
guenther2023ViSpa,2,53,1.359375,1.3828125,-0.0234375
guenther2023ViSpa,2,54,1.1953125,0.5859375,0.609375
guenther2023ViSpa,2,55,0.6796875,0.546875,0.1328125
guenther2023ViSpa,2,56,1.859375,1.484375,0.375
guenther2023ViSpa,2,57,0.9453125,0.86328125,0.08203125
guenther2023ViSpa,2,58,2.109375,1.859375,0.25
guenther2023ViSpa,2,59,0.76171875,1.828125,-1.06640625
guenther2023ViSpa,2,60,2.15625,2.015625,0.140625
guenther2023ViSpa,2,61,1.3828125,1.78125,-0.3984375
guenther2023ViSpa,2,62,3.53125,2.921875,0.609375
guenther2023ViSpa,2,63,1.0,1.578125,-0.578125
guenther2023ViSpa,2,64,0.796875,0.76171875,0.03515625
guenther2023ViSpa,2,65,0.86328125,1.0,-0.13671875
guenther2023ViSpa,2,66,1.25,0.9453125,0.3046875
guenther2023ViSpa,2,67,1.0234375,1.453125,-0.4296875
guenther2023ViSpa,2,68,1.3125,1.90625,-0.59375
guenther2023ViSpa,2,69,1.359375,0.71484375,0.64453125
guenther2023ViSpa,2,70,1.375,1.8125,-0.4375
guenther2023ViSpa,2,71,1.828125,0.99609375,0.83203125
guenther2023ViSpa,2,72,2.234375,2.171875,0.0625
guenther2023ViSpa,2,73,1.421875,1.484375,-0.0625
guenther2023ViSpa,2,74,1.2890625,0.6640625,0.625
guenther2023ViSpa,2,75,2.3125,3.109375,-0.796875
guenther2023ViSpa,2,76,1.3046875,1.015625,0.2890625
