experiment,n_responses,mean_nll_base,sem_nll_base,mean_nll_ours,sem_nll_ours,mean_delta_log_likelihood,sem_delta_log_likelihood
Dymarska2025_associations,7207,6.566650847944056,0.03488998046436955,6.3231722727320765,0.03420550620623621,0.24347857521197924,0.013056017956087816
guenther2023associations_individual,41886,5.911458576681256,0.012985510787804652,5.656699226094153,0.012888432074167877,0.25475935058710325,0.004963591512856087
stella2026_formamentis_data,12152,3.4403144304025637,0.03253728250651144,3.3584251403808594,0.032576494455884446,0.08188929002170425,0.006967097513310025
