experiment,participant_id,item_index,nll_base,nll_minitaur,delta_log_likelihood
guenther2024substitutions,1,89,2.34375,2.3125,0.03125
guenther2024substitutions,1,90,2.84375,2.8125,0.03125
guenther2024substitutions,1,91,3.234375,3.21875,0.015625
guenther2024substitutions,1,92,6.890625,6.8828125,0.0078125
guenther2024substitutions,1,93,3.7421875,3.6875,0.0546875
guenther2024substitutions,1,94,6.26171875,6.04296875,0.21875
guenther2024substitutions,1,95,6.09375,6.0,0.09375
guenther2024substitutions,1,96,3.0,2.90625,0.09375
guenther2024substitutions,1,97,5.15625,5.21875,-0.0625
guenther2024substitutions,1,98,12.65625,12.28125,0.375
guenther2024substitutions,1,99,4.0625,3.53125,0.53125
guenther2024substitutions,1,100,8.3125,8.171875,0.140625
guenther2024substitutions,1,101,2.765625,2.8125,-0.046875
guenther2024substitutions,1,102,2.6875,2.609375,0.078125
guenther2024substitutions,1,103,8.7060546875,8.7529296875,-0.046875
guenther2024substitutions,1,104,9.3125,9.421875,-0.109375
guenther2024substitutions,1,105,3.421875,3.484375,-0.0625
guenther2024substitutions,1,106,4.2705078125,4.2158203125,0.0546875
guenther2024substitutions,1,107,0.486328125,0.515625,-0.029296875
guenther2024substitutions,1,108,2.55322265625,2.49072265625,0.0625
guenther2024substitutions,1,109,4.84375,4.875,-0.03125
guenther2024substitutions,1,110,6.171875,6.3125,-0.140625
guenther2024substitutions,1,111,3.538330078125,3.663330078125,-0.125
guenther2024substitutions,1,112,4.44287109375,4.3876953125,0.05517578125
guenther2024substitutions,1,113,3.59375,3.625,-0.03125
guenther2024substitutions,1,114,1.2734375,1.265625,0.0078125
guenther2024substitutions,1,115,3.615234375,3.630859375,-0.015625
guenther2024substitutions,1,116,0.41015625,0.41943359375,-0.00927734375
guenther2024substitutions,1,117,7.1875,7.03125,0.15625
guenther2024substitutions,1,118,1.2265625,1.2265625,0.0
guenther2024substitutions,1,119,3.4375,3.359375,0.078125
guenther2024substitutions,1,120,6.71875,6.6875,0.03125
guenther2024substitutions,1,121,2.3125,2.296875,0.015625
guenther2024substitutions,1,122,0.7138671875,0.69189453125,0.02197265625
guenther2024substitutions,1,123,5.25,5.125,0.125
guenther2024substitutions,1,124,4.15625,4.1875,-0.03125
guenther2024substitutions,1,125,3.1787109375,3.1650390625,0.013671875
guenther2024substitutions,1,126,16.71875,16.4375,0.28125
guenther2024substitutions,1,127,4.21875,4.25,-0.03125
guenther2024substitutions,1,128,2.40625,2.5625,-0.15625
guenther2024substitutions,1,129,2.984375,2.998046875,-0.013671875
guenther2024substitutions,1,130,8.1875,8.1875,0.0
guenther2024substitutions,1,131,3.11572265625,3.00634765625,0.109375
guenther2024substitutions,1,132,4.89697265625,4.77197265625,0.125
guenther2024substitutions,1,133,7.125,7.03125,0.09375
guenther2024substitutions,1,134,2.734375,2.75,-0.015625
guenther2024substitutions,1,135,5.53125,5.46875,0.0625
guenther2024substitutions,1,136,13.59375,13.84375,-0.25
guenther2024substitutions,1,137,5.5283203125,5.4912109375,0.037109375
guenther2024substitutions,1,138,5.03125,5.1875,-0.15625
guenther2024substitutions,1,139,0.738037109375,0.695068359375,0.04296875
guenther2024substitutions,1,140,5.978515625,5.951171875,0.02734375
guenther2024substitutions,1,141,14.5625,14.5625,0.0
guenther2024substitutions,1,142,4.15625,3.96875,0.1875
guenther2024substitutions,1,143,9.60546875,9.80859375,-0.203125
guenther2024substitutions,1,144,1.0546875,1.0625,-0.0078125
