experiment,participant_id,item_index,nll_minitaur,nll_ours,delta_log_likelihood
Dymarska2025_associations,1,96,5.94775390625,5.663818359375,0.283935546875
Dymarska2025_associations,1,97,7.09375,3.3203125,3.7734375
Dymarska2025_associations,1,98,6.453125,5.6717529296875,0.7813720703125
Dymarska2025_associations,1,99,7.46875,7.453125,0.015625
Dymarska2025_associations,1,100,4.56640625,4.130859375,0.435546875
Dymarska2025_associations,1,101,4.109375,3.3515625,0.7578125
Dymarska2025_associations,1,102,5.9375,5.578125,0.359375
Dymarska2025_associations,1,103,9.96875,8.578125,1.390625
Dymarska2025_associations,1,104,5.78125,5.75,0.03125
Dymarska2025_associations,1,105,5.15234375,5.640625,-0.48828125
Dymarska2025_associations,1,106,7.29296875,5.8203125,1.47265625
Dymarska2025_associations,1,107,5.75,5.75,0.0
Dymarska2025_associations,1,108,9.6953125,10.59375,-0.8984375
Dymarska2025_associations,1,109,10.3125,9.625,0.6875
Dymarska2025_associations,1,110,4.6953125,4.453125,0.2421875
Dymarska2025_associations,1,111,4.115234375,3.583740234375,0.531494140625
Dymarska2025_associations,1,112,8.8203125,9.359375,-0.5390625
Dymarska2025_associations,1,113,5.75,5.87890625,-0.12890625
Dymarska2025_associations,1,114,4.5703125,3.939453125,0.630859375
Dymarska2025_associations,1,115,5.13232421875,4.5194091796875,0.6129150390625
Dymarska2025_associations,1,116,9.7890625,10.296875,-0.5078125
Dymarska2025_associations,1,117,8.4150390625,8.5,-0.0849609375
Dymarska2025_associations,1,118,6.859375,6.375,0.484375
Dymarska2025_associations,1,119,8.888671875,7.695281982421875,1.193389892578125
Dymarska2025_associations,1,120,3.4189453125,3.882080078125,-0.463134765625
Dymarska2025_associations,1,121,11.1171875,9.5546875,1.5625
Dymarska2025_associations,1,122,5.40625,4.59375,0.8125
Dymarska2025_associations,1,123,6.25,7.25,-1.0
Dymarska2025_associations,1,124,6.16162109375,6.935546875,-0.77392578125
Dymarska2025_associations,1,125,4.53125,5.09375,-0.5625
Dymarska2025_associations,1,126,7.90625,6.625,1.28125
Dymarska2025_associations,1,127,7.28125,8.0625,-0.78125
Dymarska2025_associations,1,128,6.26953125,5.029296875,1.240234375
Dymarska2025_associations,1,129,5.5,5.375,0.125
Dymarska2025_associations,1,130,7.39453125,6.796875,0.59765625
Dymarska2025_associations,1,131,5.210693359375,4.023193359375,1.1875
Dymarska2025_associations,1,132,5.642578125,4.04833984375,1.59423828125
Dymarska2025_associations,1,133,5.529296875,4.75537109375,0.77392578125
Dymarska2025_associations,1,134,4.1875,2.484375,1.703125
Dymarska2025_associations,1,135,6.203125,5.625,0.578125
Dymarska2025_associations,1,136,5.2421875,6.1875,-0.9453125
Dymarska2025_associations,1,137,4.5078125,4.2578125,0.25
Dymarska2025_associations,1,138,8.6533203125,8.27734375,0.3759765625
Dymarska2025_associations,1,139,4.9111328125,3.4150390625,1.49609375
Dymarska2025_associations,1,140,3.3193359375,2.783203125,0.5361328125
Dymarska2025_associations,1,141,2.1396484375,2.069580078125,0.070068359375
Dymarska2025_associations,1,142,11.78125,10.2030029296875,1.5782470703125
Dymarska2025_associations,1,143,6.41162109375,6.716796875,-0.30517578125
Dymarska2025_associations,1,144,4.6875,3.234375,1.453125
Dymarska2025_associations,1,145,7.515625,8.078125,-0.5625
Dymarska2025_associations,1,146,6.5,6.984375,-0.484375
Dymarska2025_associations,1,147,8.11083984375,7.64892578125,0.4619140625
Dymarska2025_associations,1,148,8.8125,7.59375,1.21875
Dymarska2025_associations,1,149,6.296875,6.09765625,0.19921875
Dymarska2025_associations,1,150,4.1279296875,4.8330078125,-0.705078125
Dymarska2025_associations,1,151,6.410125732421875,5.2333984375,1.176727294921875
Dymarska2025_associations,1,152,7.8359375,8.421875,-0.5859375
Dymarska2025_associations,1,153,4.375,4.3125,0.0625
Dymarska2025_associations,1,154,7.20703125,7.92578125,-0.71875
Dymarska2025_associations,1,155,5.375,4.78125,0.59375
Dymarska2025_associations,1,156,7.078125,6.8125,0.265625
Dymarska2025_associations,1,157,4.75,4.875,-0.125
Dymarska2025_associations,1,158,9.25,9.75,-0.5
Dymarska2025_associations,1,159,7.171875,8.234375,-1.0625
Dymarska2025_associations,1,160,5.5625,5.1875,0.375
Dymarska2025_associations,1,161,2.17333984375,1.7685546875,0.40478515625
Dymarska2025_associations,1,162,6.0234375,5.671875,0.3515625
Dymarska2025_associations,1,163,4.632781982421875,4.320281982421875,0.3125
Dymarska2025_associations,1,164,5.242156982421875,3.990203857421875,1.251953125
Dymarska2025_associations,1,165,8.242156982421875,6.8201904296875,1.421966552734375
Dymarska2025_associations,1,166,8.0859375,7.4453125,0.640625
Dymarska2025_associations,1,167,4.140625,3.38671875,0.75390625
Dymarska2025_associations,1,168,4.621063232421875,5.671844482421875,-1.05078125
Dymarska2025_associations,1,169,6.16015625,6.05322265625,0.10693359375
Dymarska2025_associations,1,170,8.5625,6.375,2.1875
Dymarska2025_associations,1,171,3.591796875,3.1826171875,0.4091796875
Dymarska2025_associations,1,172,5.87451171875,5.2880859375,0.58642578125
Dymarska2025_associations,1,173,4.48046875,3.69921875,0.78125
Dymarska2025_associations,1,174,7.109375,6.5634765625,0.5458984375
Dymarska2025_associations,1,175,9.03125,9.125,-0.09375
Dymarska2025_associations,1,176,4.69140625,5.181640625,-0.490234375
Dymarska2025_associations,1,177,7.0,7.171875,-0.171875
Dymarska2025_associations,1,178,6.0625,7.4375,-1.375
Dymarska2025_associations,1,179,9.59375,9.953125,-0.359375
Dymarska2025_associations,1,180,10.125,9.53125,0.59375
Dymarska2025_associations,1,181,6.125,6.03125,0.09375
Dymarska2025_associations,1,182,4.2001953125,3.99951171875,0.20068359375
Dymarska2025_associations,1,183,7.4228515625,8.1669921875,-0.744140625
Dymarska2025_associations,1,184,6.41796875,7.62109375,-1.203125
Dymarska2025_associations,1,185,5.30859375,5.29296875,0.015625
Dymarska2025_associations,1,186,5.9375,6.78125,-0.84375
Dymarska2025_associations,1,187,3.75390625,2.3642578125,1.3896484375
Dymarska2025_associations,1,188,5.59130859375,5.0042724609375,0.5870361328125
Dymarska2025_associations,1,189,6.1015625,5.765625,0.3359375
Dymarska2025_associations,1,190,3.0859375,3.421844482421875,-0.335906982421875
Dymarska2025_associations,1,191,4.74609375,3.43359375,1.3125
Dymarska2025_associations,1,192,5.8125,5.8125,0.0
Dymarska2025_associations,1,193,3.5458984375,3.694580078125,-0.148681640625
Dymarska2025_associations,1,194,5.681640625,4.890594482421875,0.791046142578125
Dymarska2025_associations,1,195,6.88671875,7.515625,-0.62890625
Dymarska2025_associations,1,196,5.710906982421875,6.984344482421875,-1.2734375
Dymarska2025_associations,1,197,3.75390625,3.806640625,-0.052734375
Dymarska2025_associations,1,198,8.0390625,6.74951171875,1.28955078125
Dymarska2025_associations,1,199,6.2607421875,7.46484375,-1.2041015625
Dymarska2025_associations,2,0,8.828125,13.3916015625,-4.5634765625
Dymarska2025_associations,2,1,9.279296875,3.17138671875,6.10791015625
Dymarska2025_associations,2,2,2.734375,1.21875,1.515625
Dymarska2025_associations,2,3,4.4375,5.3125,-0.875
Dymarska2025_associations,2,4,4.888671875,6.484375,-1.595703125
Dymarska2025_associations,2,5,7.5869140625,7.2041015625,0.3828125
Dymarska2025_associations,2,6,3.6640625,4.283203125,-0.619140625
Dymarska2025_associations,2,7,2.921875,3.109375,-0.1875
Dymarska2025_associations,2,8,11.12255859375,9.0283203125,2.09423828125
Dymarska2025_associations,2,9,3.4530029296875,3.5155029296875,-0.0625
Dymarska2025_associations,2,10,2.648406982421875,1.898406982421875,0.75
Dymarska2025_associations,2,11,3.08154296875,3.3865966796875,-0.3050537109375
Dymarska2025_associations,2,12,8.3359375,8.3203125,0.015625
Dymarska2025_associations,2,13,7.58203125,5.86279296875,1.71923828125
Dymarska2025_associations,2,14,4.9375,3.070281982421875,1.867218017578125
Dymarska2025_associations,2,15,8.14453125,9.179656982421877,-1.0351257324218768
Dymarska2025_associations,2,16,10.7655029296875,12.445281982421877,-1.6797790527343768
Dymarska2025_associations,2,17,5.1484375,3.58203125,1.56640625
Dymarska2025_associations,2,18,5.0,5.8125,-0.8125
Dymarska2025_associations,2,19,3.40625,2.734375,0.671875
Dymarska2025_associations,2,20,5.5625,5.34375,0.21875
Dymarska2025_associations,2,21,5.16015625,4.583984375,0.576171875
Dymarska2025_associations,2,22,8.0,7.984375,0.015625
Dymarska2025_associations,2,23,7.1171875,5.94140625,1.17578125
Dymarska2025_associations,2,24,5.08203125,6.3544921875,-1.2724609375
Dymarska2025_associations,2,25,3.263671875,3.203125,0.060546875
Dymarska2025_associations,2,26,3.5009765625,2.85888671875,0.64208984375
Dymarska2025_associations,2,27,9.75,9.625,0.125
Dymarska2025_associations,2,28,5.270751953125,5.680633544921875,-0.409881591796875
Dymarska2025_associations,2,29,8.13134765625,9.991943359375,-1.860595703125
Dymarska2025_associations,2,30,6.0,4.81640625,1.18359375
Dymarska2025_associations,2,31,4.605438232421875,4.88861083984375,-0.283172607421875
Dymarska2025_associations,2,32,11.1875,12.0,-0.8125
Dymarska2025_associations,2,33,7.76171875,7.80859375,-0.046875
Dymarska2025_associations,2,34,8.234375,8.1015625,0.1328125
Dymarska2025_associations,2,35,4.77734375,4.40576171875,0.37158203125
Dymarska2025_associations,2,36,4.2548828125,4.65234375,-0.3974609375
Dymarska2025_associations,2,37,3.4619140625,4.14990234375,-0.68798828125
Dymarska2025_associations,2,38,6.21484375,7.197265625,-0.982421875
Dymarska2025_associations,2,39,3.3046875,2.63671875,0.66796875
Dymarska2025_associations,2,40,7.218505859375,6.905975341796875,0.312530517578125
Dymarska2025_associations,2,41,4.031005859375,5.642578125,-1.611572265625
Dymarska2025_associations,2,42,2.5467529296875,2.007781982421875,0.538970947265625
Dymarska2025_associations,2,43,7.65625,7.515625,0.140625
Dymarska2025_associations,2,44,5.75,6.125,-0.375
Dymarska2025_associations,2,45,4.45703125,3.04296875,1.4140625
Dymarska2025_associations,2,46,3.94140625,1.945068359375,1.996337890625
Dymarska2025_associations,2,47,7.4375,8.0,-0.5625
Dymarska2025_associations,2,48,5.6875,4.6875,1.0
Dymarska2025_associations,2,49,4.625,6.0625,-1.4375
Dymarska2025_associations,2,50,4.89697265625,5.154296875,-0.25732421875
Dymarska2025_associations,2,51,4.25,3.140625,1.109375
Dymarska2025_associations,2,52,12.375,11.34375,1.03125
Dymarska2025_associations,2,53,6.5859375,6.90234375,-0.31640625
Dymarska2025_associations,2,54,8.5625,7.1875,1.375
Dymarska2025_associations,2,55,4.3828125,4.54296875,-0.16015625
Dymarska2025_associations,2,56,5.765625,6.1015625,-0.3359375
Dymarska2025_associations,2,57,6.427734375,5.564453125,0.86328125
Dymarska2025_associations,2,58,6.7734375,5.48828125,1.28515625
Dymarska2025_associations,2,59,5.1953125,5.34375,-0.1484375
Dymarska2025_associations,2,60,1.146484375,0.714111328125,0.432373046875
Dymarska2025_associations,2,61,4.049774169921875,4.583953857421875,-0.5341796875
Dymarska2025_associations,2,62,3.6396484375,2.96826171875,0.67138671875
Dymarska2025_associations,2,63,1.56201171875,1.530517578125,0.031494140625
Dymarska2025_associations,2,64,9.3125,8.171875,1.140625
Dymarska2025_associations,2,65,2.5224609375,1.16015625,1.3623046875
Dymarska2025_associations,2,66,3.531219482421875,4.0780029296875,-0.546783447265625
Dymarska2025_associations,2,67,3.40625,3.6015625,-0.1953125
Dymarska2025_associations,2,68,7.34375,6.6875,0.65625
Dymarska2025_associations,2,69,2.6162109375,3.318359375,-0.7021484375
Dymarska2025_associations,2,70,4.5400390625,4.72412109375,-0.18408203125
Dymarska2025_associations,2,71,7.734375,7.570281982421875,0.164093017578125
Dymarska2025_associations,2,72,14.87451171875,15.10888671875,-0.234375
Dymarska2025_associations,2,73,5.947265625,4.2783203125,1.6689453125
Dymarska2025_associations,2,74,8.5770263671875,8.826416015625,-0.2493896484375
Dymarska2025_associations,2,75,6.0537109375,7.41455078125,-1.36083984375
Dymarska2025_associations,2,76,4.9833984375,5.74951171875,-0.76611328125
Dymarska2025_associations,2,77,4.898193359375,4.179656982421875,0.718536376953125
Dymarska2025_associations,2,78,3.85546875,3.38671875,0.46875
Dymarska2025_associations,2,79,7.125,7.59765625,-0.47265625
Dymarska2025_associations,2,80,6.866943359375,6.11767578125,0.749267578125
Dymarska2025_associations,2,81,5.132781982421875,4.7655029296875,0.367279052734375
Dymarska2025_associations,2,82,8.953125,7.28125,1.671875
Dymarska2025_associations,2,83,3.859375,2.625,1.234375
Dymarska2025_associations,2,84,6.171875,6.40625,-0.234375
Dymarska2025_associations,2,85,6.625,6.6875,-0.0625
Dymarska2025_associations,2,86,5.11376953125,3.78173828125,1.33203125
Dymarska2025_associations,2,87,4.93701171875,5.3583984375,-0.42138671875
Dymarska2025_associations,2,88,3.1748046875,3.7822265625,-0.607421875
Dymarska2025_associations,2,89,15.11572265625,11.1494140625,3.96630859375
Dymarska2025_associations,2,90,7.154296875,9.93701171875,-2.78271484375
Dymarska2025_associations,2,91,3.952117919921875,4.036102294921875,-0.083984375
Dymarska2025_associations,2,92,6.6953125,5.765625,0.9296875
Dymarska2025_associations,2,93,5.6015625,5.46923828125,0.13232421875
Dymarska2025_associations,2,94,3.390625,3.078125,0.3125
Dymarska2025_associations,2,95,8.984375,8.625,0.359375
Dymarska2025_associations,2,96,4.71484375,4.859375,-0.14453125
Dymarska2025_associations,2,97,11.796875,14.203125,-2.40625
Dymarska2025_associations,2,98,3.148193359375,3.79638671875,-0.648193359375
Dymarska2025_associations,2,99,5.248046875,5.484375,-0.236328125
Dymarska2025_associations,2,100,1.796844482421875,2.119110107421875,-0.322265625
Dymarska2025_associations,2,101,6.5625,5.0625,1.5
Dymarska2025_associations,2,102,3.28125,3.8125,-0.53125
Dymarska2025_associations,2,103,3.975830078125,4.6083984375,-0.632568359375
Dymarska2025_associations,2,104,11.0546875,11.15625,-0.1015625
Dymarska2025_associations,2,105,8.4375,8.03125,0.40625
Dymarska2025_associations,2,106,4.98828125,5.28125,-0.29296875
Dymarska2025_associations,2,107,1.444580078125,1.194580078125,0.25
Dymarska2025_associations,2,108,5.3544921875,5.333740234375,0.020751953125
Dymarska2025_associations,2,109,7.265625,7.76953125,-0.50390625
Dymarska2025_associations,2,110,10.773406982421877,10.820281982421877,-0.046875
Dymarska2025_associations,2,111,4.4920654296875,4.554656982421875,-0.062591552734375
Dymarska2025_associations,2,112,5.24609375,5.72265625,-0.4765625
Dymarska2025_associations,2,113,6.59375,7.484375,-0.890625
Dymarska2025_associations,2,114,8.42822265625,8.82421875,-0.39599609375
Dymarska2025_associations,2,115,6.625,6.6875,-0.0625
Dymarska2025_associations,2,116,2.5,3.226531982421875,-0.726531982421875
Dymarska2025_associations,2,117,6.490234375,6.42578125,0.064453125
Dymarska2025_associations,2,118,5.826171875,6.828125,-1.001953125
Dymarska2025_associations,2,119,13.39013671875,9.870361328125,3.519775390625
Dymarska2025_associations,2,120,1.251953125,1.609375,-0.357421875
Dymarska2025_associations,2,121,1.7109375,2.015625,-0.3046875
Dymarska2025_associations,2,122,4.1405029296875,3.507568359375,0.6329345703125
Dymarska2025_associations,2,123,3.048095703125,2.395751953125,0.65234375
Dymarska2025_associations,2,124,5.902313232421875,5.255828857421875,0.646484375
Dymarska2025_associations,2,125,4.888671875,4.6728515625,0.2158203125
Dymarska2025_associations,2,126,4.58984375,5.4296875,-0.83984375
Dymarska2025_associations,2,127,3.4130859375,2.6875,0.7255859375
Dymarska2025_associations,2,128,9.89697265625,10.3271484375,-0.43017578125
Dymarska2025_associations,2,129,8.5546875,8.96875,-0.4140625
Dymarska2025_associations,2,130,4.882293701171875,5.1072998046875,-0.225006103515625
Dymarska2025_associations,2,131,3.4521484375,3.850830078125,-0.398681640625
Dymarska2025_associations,2,132,11.6796875,11.146484375,0.533203125
Dymarska2025_associations,2,133,2.64599609375,2.18603515625,0.4599609375
Dymarska2025_associations,2,134,8.9189453125,7.9765625,0.9423828125
Dymarska2025_associations,2,135,3.1630859375,2.0771484375,1.0859375
Dymarska2025_associations,2,136,2.4404296875,2.06689453125,0.37353515625
Dymarska2025_associations,2,137,3.296875,3.25,0.046875
Dymarska2025_associations,2,138,5.1875,5.125,0.0625
Dymarska2025_associations,2,139,6.95068359375,6.67822265625,0.2724609375
Dymarska2025_associations,2,140,3.1015625,2.5625,0.5390625
Dymarska2025_associations,2,141,2.2261962890625,1.9761962890625,0.25
Dymarska2025_associations,2,142,4.9775390625,4.322265625,0.6552734375
Dymarska2025_associations,2,143,4.382781982421875,3.5936279296875,0.789154052734375
Dymarska2025_associations,2,144,6.275390625,5.9814453125,0.2939453125
Dymarska2025_associations,2,145,17.6875,16.796875,0.890625
Dymarska2025_associations,2,146,7.33203125,5.968597412109375,1.363433837890625
Dymarska2025_associations,2,147,4.533203125,3.21435546875,1.31884765625
Dymarska2025_associations,2,148,5.4100341796875,4.362274169921875,1.047760009765625
Dymarska2025_associations,2,149,4.8046875,5.109375,-0.3046875
Dymarska2025_associations,2,150,4.71484375,5.52197265625,-0.80712890625
Dymarska2025_associations,2,151,12.515625,8.7303466796875,3.7852783203125
Dymarska2025_associations,2,152,2.41015625,1.7646484375,0.6455078125
Dymarska2025_associations,2,153,4.06494140625,2.1220703125,1.94287109375
Dymarska2025_associations,2,154,3.537078857421875,3.3114013671875,0.225677490234375
Dymarska2025_associations,2,155,5.37109375,5.6416015625,-0.2705078125
Dymarska2025_associations,2,156,3.5244140625,1.740692138671875,1.783721923828125
Dymarska2025_associations,2,157,6.0537109375,4.94189453125,1.11181640625
Dymarska2025_associations,2,158,4.4921875,4.2030029296875,0.2891845703125
Dymarska2025_associations,2,159,7.296875,5.96875,1.328125
Dymarska2025_associations,2,160,6.851531982421875,6.101531982421875,0.75
Dymarska2025_associations,2,161,2.7030029296875,2.991943359375,-0.2889404296875
Dymarska2025_associations,2,162,5.6875,5.09375,0.59375
Dymarska2025_associations,2,163,4.9375,4.90625,0.03125
Dymarska2025_associations,2,164,3.1474609375,3.361328125,-0.2138671875
Dymarska2025_associations,2,165,5.15625,4.1015625,1.0546875
Dymarska2025_associations,2,166,7.5068359375,7.5706787109375,-0.0638427734375
Dymarska2025_associations,2,167,4.737274169921875,3.99560546875,0.741668701171875
Dymarska2025_associations,2,168,6.25390625,4.65234375,1.6015625
Dymarska2025_associations,2,169,3.517578125,4.13037109375,-0.61279296875
Dymarska2025_associations,2,170,5.40234375,4.50390625,0.8984375
Dymarska2025_associations,2,171,7.09375,7.59375,-0.5
Dymarska2025_associations,2,172,5.6795654296875,5.976531982421875,-0.296966552734375
Dymarska2025_associations,2,173,4.6875,4.875,-0.1875
Dymarska2025_associations,2,174,5.71875,5.234375,0.484375
Dymarska2025_associations,2,175,6.21875,5.5625,0.65625
Dymarska2025_associations,2,176,8.7772216796875,8.171844482421875,0.605377197265625
Dymarska2025_associations,2,177,8.61328125,6.009765625,2.603515625
Dymarska2025_associations,2,178,6.882781982421875,6.132781982421875,0.75
Dymarska2025_associations,2,179,7.445281982421875,7.320281982421875,0.125
Dymarska2025_associations,2,180,2.835205078125,1.6405029296875,1.1947021484375
Dymarska2025_associations,2,181,1.32025146484375,1.390350341796875,-0.070098876953125
Dymarska2025_associations,2,182,1.95703125,1.87890625,0.078125
Dymarska2025_associations,2,183,4.330078125,4.695281982421875,-0.365203857421875
Dymarska2025_associations,2,184,6.048828125,3.427490234375,2.621337890625
Dymarska2025_associations,2,185,8.28125,9.515625,-1.234375
Dymarska2025_associations,2,186,4.945281982421875,5.320281982421875,-0.375
Dymarska2025_associations,2,187,10.625,11.53125,-0.90625
Dymarska2025_associations,2,188,4.81787109375,5.3984375,-0.58056640625
Dymarska2025_associations,2,189,4.26953125,3.34326171875,0.92626953125
Dymarska2025_associations,2,190,5.67578125,6.615234375,-0.939453125
Dymarska2025_associations,2,191,5.28515625,5.45166015625,-0.16650390625
Dymarska2025_associations,2,192,5.365234375,5.58203125,-0.216796875
Dymarska2025_associations,2,193,6.09375,6.859375,-0.765625
Dymarska2025_associations,2,194,3.890625,3.78125,0.109375
Dymarska2025_associations,2,195,4.80072021484375,4.214599609375,0.58612060546875
Dymarska2025_associations,2,196,3.779296875,3.9091796875,-0.1298828125
Dymarska2025_associations,2,197,8.44287109375,7.8564453125,0.58642578125
Dymarska2025_associations,2,198,7.71875,7.03125,0.6875
Dymarska2025_associations,2,199,7.75,6.875,0.875
Dymarska2025_associations,3,0,12.09375,15.960693359375,-3.866943359375
Dymarska2025_associations,3,1,8.84326171875,9.898193359375,-1.054931640625
Dymarska2025_associations,3,2,3.78125,2.09375,1.6875
Dymarska2025_associations,3,3,8.15625,4.03125,4.125
Dymarska2025_associations,3,4,7.29296875,7.06640625,0.2265625
Dymarska2025_associations,3,5,5.828125,5.65625,0.171875
Dymarska2025_associations,3,6,6.046875,4.0625,1.984375
Dymarska2025_associations,3,7,7.710784912109375,6.515380859375,1.195404052734375
Dymarska2025_associations,3,8,5.78125,5.4375,0.34375
Dymarska2025_associations,3,9,5.732421875,5.780517578125,-0.048095703125
Dymarska2025_associations,3,10,6.6796875,6.0234375,0.65625
Dymarska2025_associations,3,11,8.01513671875,7.164031982421875,0.851104736328125
Dymarska2025_associations,3,12,10.80224609375,10.73828125,0.06396484375
Dymarska2025_associations,3,13,4.83203125,4.07421875,0.7578125
Dymarska2025_associations,3,14,7.1953125,7.75,-0.5546875
Dymarska2025_associations,3,15,10.34375,10.03125,0.3125
