experiment,participant_id,item_index,nll_base,nll_ours,delta_log_likelihood
Dymarska2025_associations,1,97,7.28125,3.44140625,3.83984375
Dymarska2025_associations,1,98,6.73046875,4.9530029296875,1.7774658203125
Dymarska2025_associations,1,99,7.34375,7.21875,0.125
Dymarska2025_associations,1,100,4.419921875,4.404296875,0.015625
Dymarska2025_associations,1,101,3.9140625,3.2890625,0.625
Dymarska2025_associations,1,102,5.9921875,5.89453125,0.09765625
Dymarska2025_associations,1,103,9.9375,9.125,0.8125
Dymarska2025_associations,1,104,5.8125,6.28125,-0.46875
Dymarska2025_associations,1,105,5.16015625,4.81640625,0.34375
Dymarska2025_associations,1,106,7.6015625,6.98828125,0.61328125
Dymarska2025_associations,1,107,5.65625,5.75,-0.09375
Dymarska2025_associations,1,108,9.7421875,10.71875,-0.9765625
Dymarska2025_associations,1,109,10.1875,10.625,-0.4375
Dymarska2025_associations,1,110,4.742156982421875,3.40625,1.335906982421875
Dymarska2025_associations,1,111,4.207275390625,3.974365234375,0.23291015625
Dymarska2025_associations,1,112,8.6953125,9.3125,-0.6171875
Dymarska2025_associations,1,113,5.6875,6.30078125,-0.61328125
Dymarska2025_associations,1,114,4.6328125,4.1875,0.4453125
Dymarska2025_associations,1,115,5.108642578125,4.964599609375,0.14404296875
Dymarska2025_associations,1,116,9.75,9.75,0.0
Dymarska2025_associations,1,117,8.4169921875,8.25,0.1669921875
Dymarska2025_associations,1,118,6.796875,6.296875,0.5
Dymarska2025_associations,1,119,8.64697265625,9.14306640625,-0.49609375
Dymarska2025_associations,1,120,3.47314453125,3.8896484375,-0.41650390625
Dymarska2025_associations,1,121,11.2890625,9.640625,1.6484375
Dymarska2025_associations,1,122,5.34375,5.03125,0.3125
Dymarska2025_associations,1,123,6.03125,7.4375,-1.40625
Dymarska2025_associations,1,124,6.06787109375,6.99072265625,-0.9228515625
Dymarska2025_associations,1,125,4.34375,4.65625,-0.3125
Dymarska2025_associations,1,126,7.84375,6.5625,1.28125
Dymarska2025_associations,1,127,7.5,7.8046875,-0.3046875
Dymarska2025_associations,1,128,6.3046875,5.029296875,1.275390625
Dymarska2025_associations,1,129,5.40625,5.4375,-0.03125
Dymarska2025_associations,1,130,7.609375,6.841796875,0.767578125
Dymarska2025_associations,1,131,5.210693359375,4.09326171875,1.117431640625
Dymarska2025_associations,1,132,5.234375,4.46826171875,0.76611328125
Dymarska2025_associations,1,133,5.5732421875,5.02001953125,0.55322265625
Dymarska2025_associations,1,134,4.28125,2.53125,1.75
Dymarska2025_associations,1,135,6.28125,6.625,-0.34375
Dymarska2025_associations,1,136,5.25,6.0234375,-0.7734375
Dymarska2025_associations,1,137,4.4453125,4.3984375,0.046875
Dymarska2025_associations,1,138,8.72265625,8.853515625,-0.130859375
Dymarska2025_associations,1,139,4.95263671875,3.0263671875,1.92626953125
Dymarska2025_associations,1,140,3.419921875,3.05078125,0.369140625
Dymarska2025_associations,1,141,2.053955078125,2.404296875,-0.350341796875
Dymarska2025_associations,1,142,12.3125,9.960693359375,2.351806640625
Dymarska2025_associations,1,143,6.5126953125,7.0126953125,-0.5
Dymarska2025_associations,1,144,4.5,3.859375,0.640625
Dymarska2025_associations,1,145,7.421875,7.671875,-0.25
Dymarska2025_associations,1,146,6.5625,6.671875,-0.109375
Dymarska2025_associations,1,147,8.08642578125,7.9140625,0.17236328125
Dymarska2025_associations,1,148,9.0625,8.84375,0.21875
Dymarska2025_associations,1,149,6.37109375,5.9609375,0.41015625
Dymarska2025_associations,1,150,4.06689453125,4.4775390625,-0.41064453125
Dymarska2025_associations,1,151,6.396453857421875,5.2529296875,1.143524169921875
Dymarska2025_associations,1,152,8.0546875,7.8203125,0.234375
Dymarska2025_associations,1,153,4.375,4.125,0.25
Dymarska2025_associations,1,154,7.111328125,8.45703125,-1.345703125
Dymarska2025_associations,1,155,5.375,5.03125,0.34375
Dymarska2025_associations,1,156,6.953125,7.25,-0.296875
Dymarska2025_associations,1,157,4.6875,5.0,-0.3125
Dymarska2025_associations,1,158,9.3125,10.0,-0.6875
Dymarska2025_associations,1,159,7.125,8.328125,-1.203125
Dymarska2025_associations,1,160,5.5,5.5625,-0.0625
Dymarska2025_associations,1,161,2.28076171875,2.02783203125,0.2529296875
Dymarska2025_associations,1,162,5.9765625,6.4375,-0.4609375
Dymarska2025_associations,1,163,4.632781982421875,4.632781982421875,0.0
Dymarska2025_associations,1,164,5.328094482421875,4.215789794921875,1.1123046875
Dymarska2025_associations,1,165,8.320281982421875,7.0076904296875,1.312591552734375
Dymarska2025_associations,1,166,8.351531982421875,7.29296875,1.058563232421875
Dymarska2025_associations,1,167,4.203125,3.7734375,0.4296875
Dymarska2025_associations,1,168,4.749969482421875,5.734344482421875,-0.984375
Dymarska2025_associations,1,169,6.158203125,5.63037109375,0.52783203125
Dymarska2025_associations,1,170,8.625,6.5625,2.0625
Dymarska2025_associations,1,171,3.68359375,3.2119140625,0.4716796875
