experiment,n_responses,mean_nll_base,sem_nll_base,mean_nll_minitaur,sem_nll_minitaur,mean_delta_log_likelihood,sem_delta_log_likelihood
balota2007_LDT,118515,0.4354570467411826,0.001553777677245747,0.43074766802082676,0.0015669734988449184,0.004709378720355809,0.0007457623194553107
guenther2020LDT,75870,0.3585919652827977,0.0018503068376973786,0.34661234972174343,0.001955188557577876,0.01197961556105427,0.0002816303917995657
hutchison2013_semantic,112668,2.2442537099784285,0.008621918442107102,2.239986072566963,0.008626410033475165,0.004267637411465545,0.003934756822616658
keuleers2011_britishlexiconproject,106088,0.044076500862362644,0.0011188212368078666,0.043959615385358884,0.001054670329147852,0.00011688547700376102,8.657368725503473e-05
marson2026_eplep,100014,0.28704518751408004,0.002089069024635022,0.28465977318107105,0.0020826189119391206,0.002385414333009004,0.00019306170041451427
