experiment,n_responses,mean_nll_minitaur,sem_nll_minitaur,mean_nll_ours,sem_nll_ours,mean_delta_log_likelihood,sem_delta_log_likelihood
balota2007_LDT,118515,0.43074766802082676,0.0015669734988449184,0.36195372028782946,0.0017128962523038826,0.06879394773299727,0.0013146591467936442
guenther2020LDT,75870,0.34661234972174343,0.001955188557577876,0.27088579927270745,0.0020234074211608758,0.07572655044903598,0.0013339114854477687
hutchison2013_semantic,112668,2.239986072566963,0.008626410033475165,2.2162595017503897,0.008504671402436177,0.023726570816573637,0.004105297960934455
keuleers2011_britishlexiconproject,106088,0.043959615385358884,0.001054670329147852,0.021570312555231272,0.0004426964776653465,0.022389302830127612,0.000735541033030904
marson2026_eplep,100014,0.28465977318107105,0.0020826189119391206,0.24626651084766102,0.0022741210070899745,0.03839326233341004,0.0011591594295930468
