run_label,model_name,held_out_type,held_out_name,eval_loss,mean_summed_nll_per_item,sem_nll_per_item,n_items,n_sequences,timestamp
base_guenther2020TS,base,study,guenther2020TS,0.38764373440734645,0.38750294921719486,0.001603972766717669,75356,145,2026-09-01T02:30:25.561658+00:00
minitaur_guenther2020TS,minitaur,study,guenther2020TS,0.3706809179096555,0.37063874099353195,0.0017038000379624816,75356,145,2026-09-01T02:39:21.162174+00:00
loo_guenther2023associations_individual,ours,study,guenther2023associations_individual,3.719421723416397,5.602351186246225,0.012764603312813714,41886,281,2026-09-01T05:12:43.135029+00:00
base_guenther2023associations_individual,base,study,guenther2023associations_individual,3.924988903683977,5.911458576681256,0.012985510787804652,41886,281,2026-09-01T05:16:35.338535+00:00
loo_guenther2024comprehension,ours,study,guenther2024comprehension,0.41101580257603637,0.4137519452211668,0.006037869069446048,27522,417,2026-09-01T05:18:50.207038+00:00
minitaur_guenther2023associations_individual,minitaur,study,guenther2023associations_individual,3.915921628305117,5.896918540480645,0.012939138158097914,41886,281,2026-09-01T05:20:30.986708+00:00
base_guenther2024comprehension,base,study,guenther2024comprehension,0.522253941624274,0.5256193959516335,0.007786235044128584,27522,417,2026-09-01T05:24:52.696715+00:00
minitaur_guenther2024comprehension,minitaur,study,guenther2024comprehension,0.514145199696937,0.517388797812957,0.007695071923638034,27522,417,2026-09-01T05:30:56.965544+00:00
loo_guenther2024substitutions,ours,study,guenther2024substitutions,3.1550209622679177,6.293250515332364,0.06396530082781329,45198,485,2026-09-01T06:16:20.774877+00:00
base_guenther2024substitutions,base,study,guenther2024substitutions,3.406834364810009,6.796148906076285,0.05164912357247252,45198,485,2026-09-01T06:21:19.572300+00:00
minitaur_guenther2024substitutions,minitaur,study,guenther2024substitutions,3.389720724917371,6.761833172350037,0.05156748310861296,45198,485,2026-09-01T06:26:19.997419+00:00
loo_guenther2023grammaticality,ours,study,guenther2023grammaticality,0.3431560724431818,0.34298865925182,0.005294696587161704,8800,80,2026-09-01T06:46:24.449316+00:00
base_guenther2023grammaticality,base,study,guenther2023grammaticality,0.3313707386363636,0.33109437422318894,0.007413090363737907,8800,80,2026-09-01T06:48:16.215214+00:00
minitaur_guenther2023grammaticality,minitaur,study,guenther2023grammaticality,0.32714311079545455,0.32677283893931997,0.007354380963081045,8800,80,2026-09-01T06:50:09.423774+00:00
loo_hilton2021_comprehension,ours,study,hilton2021_comprehension,0.7089469178082192,0.7085738717693172,0.01548787150322777,2920,40,2026-09-01T09:23:27.947274+00:00
base_hilton2021_comprehension,base,study,hilton2021_comprehension,0.7554794520547945,0.7553418616725974,0.015298000435600789,2920,40,2026-09-01T09:25:06.679569+00:00
minitaur_hilton2021_comprehension,minitaur,study,hilton2021_comprehension,0.7430650684931507,0.7427592133822506,0.015245437702273353,2920,40,2026-09-01T09:26:47.356545+00:00
loo_keuleers2011_britishlexiconproject,ours,study,keuleers2011_britishlexiconproject,0.014811468873049892,0.014194571766903006,0.000408739625601025,100315,243,2026-09-01T09:35:39.888770+00:00
base_keuleers2011_britishlexiconproject,base,study,keuleers2011_britishlexiconproject,0.044778323281662764,0.04417173215163251,0.0011529676209287283,100315,243,2026-09-01T09:48:33.138838+00:00
minitaur_keuleers2011_britishlexiconproject,minitaur,study,keuleers2011_britishlexiconproject,0.044632532522553954,0.04404235514331029,0.0010873441798058367,100315,243,2026-09-01T10:01:59.397412+00:00
loo_kyroelaeinen2022_valence,ours,study,kyroelaeinen2022_valence,1.5077800259792167,1.5076899216710615,0.002715473336634832,100080,921,2026-09-01T10:38:46.627368+00:00
base_kyroelaeinen2022_valence,base,study,kyroelaeinen2022_valence,1.5771251748601118,1.5770061877134034,0.0029623351190490393,100080,921,2026-09-01T10:49:25.157145+00:00
minitaur_kyroelaeinen2022_valence,minitaur,study,kyroelaeinen2022_valence,1.5673423760991207,1.5670467205947156,0.002927331942143656,100080,921,2026-09-01T11:00:07.409912+00:00
loo_hutchison2013_semantic,ours,study,hutchison2013_semantic,2.1349130640022027,2.1643013868334666,0.009028463716676224,100281,151,2026-09-01T11:02:10.142740+00:00
base_hutchison2013_semantic,base,study,hutchison2013_semantic,2.1672288658982732,2.197107143635856,0.00910981350512354,100281,151,2026-09-01T11:18:11.281887+00:00
minitaur_hutchison2013_semantic,minitaur,study,hutchison2013_semantic,2.1625821171472404,2.1927435812714906,0.009114855531045357,100281,151,2026-09-01T11:34:13.344733+00:00
loo_lynott2020lancaster,ours,study,lynott2020lancaster,0.730151266358163,0.7298273700312274,0.003576340578763217,100485,190,2026-09-01T13:32:13.306280+00:00
base_lynott2020lancaster,base,study,lynott2020lancaster,0.7754067771309151,0.7754995061063218,0.0036276956857134385,100485,190,2026-09-01T13:40:06.596130+00:00
minitaur_lynott2020lancaster,minitaur,study,lynott2020lancaster,0.7728193262676021,0.7727259340052309,0.003622730330972154,100485,190,2026-09-01T13:48:01.502889+00:00
loo_pexman2016_calgary,ours,study,pexman2016_calgary,0.31916160649784253,0.32533268292036055,0.0017589352298895027,100448,101,2026-09-01T14:04:23.863647+00:00
base_pexman2016_calgary,base,study,pexman2016_calgary,0.39262354296425017,0.4000401562207366,0.0016132852818376159,100448,101,2026-09-01T14:16:43.827590+00:00
minitaur_pexman2016_calgary,minitaur,study,pexman2016_calgary,0.3838764472733663,0.39114644596553144,0.001650243327522859,100448,101,2026-09-01T14:28:56.103903+00:00
loo_pissani2026_metaphor,ours,study,pissani2026_metaphor,1.6075243524463139,1.6073860418247308,0.0037850469137322745,40653,129,2026-09-01T15:11:28.572582+00:00
base_pissani2026_metaphor,base,study,pissani2026_metaphor,1.6427523798981625,1.6421579443490295,0.0038469895215291604,40653,129,2026-09-01T15:17:59.159413+00:00
minitaur_pissani2026_metaphor,minitaur,study,pissani2026_metaphor,1.641949856099181,1.6415965674451494,0.0038335907652733356,40653,129,2026-09-01T15:24:28.476959+00:00
loo_marson2026_eplep,ours,study,marson2026_eplep,0.24164842498665243,0.24113233249580804,0.0023362116948109878,93650,104,2026-09-01T15:43:31.420933+00:00
base_marson2026_eplep,base,study,marson2026_eplep,0.2862960491190603,0.2858411723155741,0.00215584164874183,93650,104,2026-09-01T15:51:07.072844+00:00
minitaur_marson2026_eplep,minitaur,study,marson2026_eplep,0.2837399893219434,0.2834496689046441,0.0021494085720936257,93650,104,2026-09-01T15:58:42.486984+00:00
loo_stella2026_formamentis_data,ours,study,stella2026_formamentis_data,2.765705563093623,3.3540836281490765,0.033025554357393114,12152,177,2026-09-01T17:51:33.856842+00:00
base_stella2026_formamentis_data,base,study,stella2026_formamentis_data,2.837008141112619,3.4403144304025637,0.03253728250651144,12152,177,2026-09-01T17:53:34.402296+00:00
