experiment,n_items,mean_summed_nll_per_item,total_nll
brysbaert2014_Concreteness,114259,1.1705386557157662,133744.57626342773
devardaetal2024_rating,101400,1.2919187545023962,131000.56170654297
kyroelaeinen2022_valence,114030,1.5924453032829047,181586.5379333496
lynott2020lancaster,114109,0.7432931232204173,84816.4349975586
pissani2026_metaphor,40653,1.6281126263167847,66187.66259765625
stella2026_formamentis_data_valence,6891,1.0761747447417827,7415.920166015625
