experiment,n_responses,mean_nll_base,sem_nll_base,mean_nll_ours,sem_nll_ours,mean_delta_log_likelihood,sem_delta_log_likelihood
balota2007_LDT,118515,0.4354570467411826,0.001553777677245747,0.3597485906216875,0.0018101390932794218,0.07570845611949503,0.0013340588252292744
guenther2020LDT,75870,0.3585919652827977,0.0018503068376973786,0.27183795857055554,0.002091651228006481,0.08675400671224216,0.0014015271713060276
hutchison2013_semantic,106233,0.23739329427818745,0.0022150799724072875,0.18720287697777968,0.0021428523805579317,0.05019041730040777,0.0010934554329615534
keuleers2011_britishlexiconproject,106088,0.044076500862362644,0.0011188212368078666,0.020280571780712856,0.0006815926091864704,0.023795929081649785,0.000676470432808078
marson2026_eplep,100014,0.28704518751408004,0.002089069024635022,0.24710402238022613,0.0023044913429076173,0.039941165133853915,0.0011393281826734037
