experiment,n_responses,mean_nll_base,sem_nll_base,mean_nll_ours,sem_nll_ours,mean_delta_log_likelihood,sem_delta_log_likelihood
brysbaert2014_Concreteness,175881,1.2740962827599653,0.0019496986082178111,1.188623561548218,0.0019748134413471534,0.08547272121174748,0.001752700545855752
devardaetal2024_rating,101400,1.3505369706313757,0.002637683151776267,1.2919187545023962,0.002346260792050447,0.058618216128979446,0.0013370656679518125
kyroelaeinen2022_valence,114030,1.5804182810500287,0.0027611834012722823,1.5924453032829047,0.002435759521092598,-0.012027022232875943,0.0013689418345122237
lynott2020lancaster,114109,0.7667294932765252,0.003399746208768081,0.7432931232204173,0.003299457701336692,0.02343637005610795,0.0008905071845106509
pissani2026_metaphor,40653,1.6421579443490295,0.0038469895215291604,1.6281126263167847,0.0038653617122151943,0.0140453180322447,0.0012856879497078065
stella2026_formamentis_data_valence,6891,1.2030940749893997,0.010312515725706161,1.0761747447417827,0.008376907684440616,0.1269193302476169,0.006576830001494899
