experiment,n_responses,mean_nll_minitaur,sem_nll_minitaur,mean_nll_ours,sem_nll_ours,mean_delta_log_likelihood,sem_delta_log_likelihood
balota2007_LDT,118515,0.43074766802082676,0.0015669734988449184,0.3597485906216875,0.0018101390932794218,0.07099907739913922,0.001321932393467127
guenther2020LDT,75870,0.34661234972174343,0.001955188557577876,0.27183795857055554,0.002091651228006481,0.07477439115118789,0.0013590759932609324
hutchison2013_semantic,106233,0.2302307943030076,0.002200644771485912,0.18720287697777968,0.0021428523805579317,0.04302791732522792,0.001021974615506962
keuleers2011_britishlexiconproject,106088,0.043959615385358884,0.001054670329147852,0.020280571780712856,0.0006815926091864704,0.023679043604646025,0.0006193558191280732
marson2026_eplep,100014,0.28465977318107105,0.0020826189119391206,0.24710402238022613,0.0023044913429076173,0.03755575080084491,0.0011152219407676942
