freq_bin,mean_log_freq,mean_nll,n_items,study,model
"(2.199, 2.73]",2.4797900167251417,0.4856363654353797,10980,marson2026_eplep,base
"(2.73, 3.255]",2.97851609246913,0.3447169559336348,11036,marson2026_eplep,base
"(3.255, 3.781]",3.495930161044772,0.241197761604526,7421,marson2026_eplep,base
"(3.781, 4.306]",4.018469849430049,0.17783122768814671,4808,marson2026_eplep,base
"(4.306, 4.832]",4.549222965410374,0.12215541301420399,2573,marson2026_eplep,base
"(4.832, 5.357]",5.0637499241841715,0.14344672827479577,811,marson2026_eplep,base
"(5.357, 5.883]",5.599053723006027,0.13172619752209597,396,marson2026_eplep,base
"(5.883, 6.408]",6.054325112990603,0.1719835234851372,205,marson2026_eplep,base
"(6.408, 6.934]",6.551150394716175,0.13799571990966797,32,marson2026_eplep,base
"(6.934, 7.459]",7.224969393803178,0.45541616586538464,13,marson2026_eplep,base
"(2.199, 2.73]",2.4797900167251417,0.39626439273465963,10980,marson2026_eplep,ours
"(2.73, 3.255]",2.97851609246913,0.26282415773696594,11036,marson2026_eplep,ours
"(3.255, 3.781]",3.495930161044772,0.15613417631210205,7421,marson2026_eplep,ours
"(3.781, 4.306]",4.018469849430049,0.12129941994259243,4808,marson2026_eplep,ours
"(4.306, 4.832]",4.549222965410374,0.08619172221901719,2573,marson2026_eplep,ours
"(4.832, 5.357]",5.0637499241841715,0.0914495917342594,811,marson2026_eplep,ours
"(5.357, 5.883]",5.599053723006027,0.10619500670770202,396,marson2026_eplep,ours
"(5.883, 6.408]",6.054325112990603,0.1716828136909299,205,marson2026_eplep,ours
"(6.408, 6.934]",6.551150394716175,0.11109256744384766,32,marson2026_eplep,ours
"(6.934, 7.459]",7.224969393803178,0.29846895658052885,13,marson2026_eplep,ours
"(2.199, 2.73]",2.437660744020363,0.296805730596319,2220,hutchison2013_semantic,base
"(2.73, 3.255]",3.0104099802012256,0.38352799966441586,3073,hutchison2013_semantic,base
"(3.255, 3.781]",3.5599707106464566,0.33681876855639775,7423,hutchison2013_semantic,base
