experiment,n_responses,mean_nll_base,sem_nll_base,mean_nll_minitaur,sem_nll_minitaur,mean_delta_log_likelihood,sem_delta_log_likelihood
brysbaert2014_Concreteness,175881,1.2740962827599653,0.0019496986082178111,1.2686056828673844,0.0019510764503387775,0.005490599892580957,0.001548985825495599
devardaetal2024_rating,101400,1.3505369706313757,0.002637683151776267,1.3473131273860293,0.002618570906985197,0.0032238432453464004,0.00016454692495671022
kyroelaeinen2022_valence,114030,1.5804182810500287,0.0027611834012722823,1.570530315433627,0.0027284357778494263,0.00988796561640166,0.00022300008838870074
lynott2020lancaster,114109,0.7667294932765252,0.003399746208768081,0.7639794545530137,0.003395053880701136,0.0027500387235114836,0.00013419500832086942
pissani2026_metaphor,40653,1.6421579443490295,0.0038469895215291604,1.6415965674451494,0.0038335907652733356,0.0005613769038800949,0.0002881206038529439
stella2026_formamentis_data_valence,6891,1.2030940749893997,0.010312515725706161,1.192506069681015,0.010028094669651924,0.010588005308384578,0.0008519669804828234
