experiment,n_responses,mean_nll_base,sem_nll_base,mean_nll_minitaur,sem_nll_minitaur,mean_delta_log_likelihood,sem_delta_log_likelihood
Dymarska2025_associations,7207,6.566650847944056,0.03488998046436955,6.531245706282196,0.034619921856252886,0.035405141661860866,0.0017626083188743995
guenther2023associations_individual,41886,5.911458576681256,0.012985510787804652,5.896918540480645,0.012939138158097914,0.014540036200611854,0.0006055626254861602
stella2026_formamentis_data,5261,6.406117645014241,0.050258063163355245,6.379317851556931,0.0500904596929324,0.026799793457309685,0.0015514783426895014
